"","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","df3","df4"
"116",8040,39,"Alessandria","Alessandria","PROPN","SP","_",35,"obl","_","_",NA,NA,29.9187387,31.2000924
"117",8095,36,"Antigono","antigono","PROPN","SP","_",35,"obj","_","SpaceAfter=No",NA,NA,NA,NA
"118",8112,13,"Antigono","antigono","PROPN","SP","_",18,"nsubj","_","_",NA,NA,NA,NA
"119",8114,15,"Famagosta","Famagosta","PROPN","SP","_",13,"nmod","_","_",NA,NA,33.919245,35.1149116
"120",8142,2,"Madonna","Madonna","PROPN","SP","_",8,"nsubj","_","SpaceAfter=No",NA,NA,NA,NA
"121",8218,35,"Alessandra","Alessandra","PROPN","SP","_",36,"obl","_","_",NA,NA,29.9187387,31.2000924
"122",8231,6,"Antigono","antigono","PROPN","SP","_",4,"obj","_","_",NA,NA,NA,NA
"123",8236,11,"Alatiel","Alatiel","PROPN","SP","_",9,"nsubj","_","_",NA,NA,NA,NA
"124",8282,5,"Antigono","antigono","PROPN","SP","_",3,"nmod","_","_",NA,NA,NA,NA
"125",8307,30,"Egitto","Egitto","PROPN","SP","_",28,"nmod","_","_",NA,NA,30.802498,26.820553
"126",8388,3,"Antigono","antigono","PROPN","SP","_",5,"obl","_","_",NA,NA,NA,NA
"127",8396,2,"Madonna","Madonna","PROPN","SP","_",6,"parataxis","_","SpaceAfter=No",NA,NA,NA,NA
"128",8454,2,"Madonna","Madonna","PROPN","SP","_",0,"root","_","SpaceAfter=No",NA,NA,NA,NA
"129",8493,38,"Garbo","Garbo","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,-7.930834,37.0179538
"130",8535,15,"Antigono","antigono","PROPN","SP","_",14,"xcomp","_","_",NA,NA,NA,NA
"131",8537,17,"Famagosta","Famagosta","PROPN","SP","_",15,"nmod","_","_",NA,NA,33.919245,35.1149116
"132",8612,3,"Baffa","Baffa","PROPN","SP","_",5,"obl","_","_",NA,NA,32.4297369,34.7720133
"133",8735,23,"Famagosta","Famagorre","PROPN","SP","_",25,"obl","_","_",NA,NA,33.919245,35.1149116
"134",8784,22,"Antigono","antigono","PROPN","SP","_",19,"nmod","_","_",NA,NA,NA,NA
"135",8821,28,"Antigono","antigono","PROPN","SP","_",26,"nmod","_","_",NA,NA,NA,NA
"136",8846,14,"Antigono","Antigere","PROPN","SP","_",8,"nsubj:pass","_","_",NA,NA,NA,NA
"137",8905,10,"Antigono","antigono","PROPN","SP","_",8,"nmod","_","_",NA,NA,NA,NA
"138",8954,31,"Ponente","Ponente","PROPN","SP","_",28,"nmod","_","SpaceAfter=No",NA,NA,NA,NA
"139",8961,38,"Aguamorta","Aguamorto","PROPN","SP","_",36,"nmod","_","SpaceAfter=No",NA,NA,4.1925869,43.567172
"140",9256,57,"Cresci","Cresce","PROPN","SP","_",54,"obl","_","_",NA,NA,11.3847483,43.9543788
"141",9258,59,"Valcava","Valcava","PROPN","SP","_",54,"obl","_","SpaceAfter=No",NA,NA,11.3847483,43.9543788
"142",9344,68,"Cipri","Ciprio","PROPN","SP","_",66,"nmod","_","SpaceAfter=No",NA,NA,-71.1375382,42.6958514
"143",9352,76,"Creti","Crete","PROPN","SP","_",72,"obl","_","SpaceAfter=No",NA,NA,-99.5498137,34.5167395
"144",9403,18,"Cipri","Ciprio","PROPN","SP","_",19,"obl","_","_",NA,NA,-71.1375382,42.6958514
"145",9439,20,"Cipri","Ciprio","PROPN","SP","_",21,"obl","_","_",NA,NA,-71.1375382,42.6958514
"146",9456,37,"Francia","Francia","PROPN","SP","_",35,"nmod","_","_",NA,NA,2.213749,46.227638
"147",9479,59,"Ierusalem","Ierusalem","PROPN","SP","_",60,"obl","_","_",NA,NA,35.21371,31.768319
"148",9484,64,"Sepolcro","Sepolcro","PROPN","SP","_",62,"obj","_","SpaceAfter=No",NA,NA,NA,NA
"149",9491,71,"Idio","Idio","PROPN","SP","_",69,"obl","_","_",NA,NA,NA,NA
"150",9509,89,"Cipri","Ciprio","PROPN","SP","_",95,"obl","_","_",NA,NA,-71.1375382,42.6958514
"151",9555,12,"Baffa","Baffa","PROPN","SP","_",10,"obl","_","SpaceAfter=No",NA,NA,32.4297369,34.7720133
"152",9603,41,"Idio","Idio","PROPN","SP","_",40,"nsubj","_","SpaceAfter=No",NA,NA,NA,NA
"153",9617,54,"Antigono","Antigere","PROPN","SP","_",53,"nmod","_","_",NA,NA,NA,NA
"154",9624,61,"Baffa","Baffa","PROPN","SP","_",62,"obl","_","_",NA,NA,32.4297369,34.7720133
"155",9699,28,"Cipri","Ciprio","PROPN","SP","_",26,"nmod","_","SpaceAfter=No",NA,NA,-71.1375382,42.6958514
"156",9734,8,"Antigono","antigono","PROPN","SP","_",6,"conj","_","SpaceAfter=No",NA,NA,NA,NA
"157",10006,67,"Idio","Idio","PROPN","SP","_",66,"obj","_","_",NA,NA,NA,NA
"158",10030,90,"Cipri","cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,-71.1375382,42.6958514
"159",10052,11,"Antigono","antigono","PROPN","SP","_",9,"obl","_","SpaceAfter=No",NA,NA,NA,NA
"160",10061,18,"Cipri","Ciprio","PROPN","SP","_",15,"obl","_","_",NA,NA,-71.1375382,42.6958514
"161",10115,23,"Garbo","Garbo","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,-7.930834,37.0179538
"162",10155,8,"Garbo","Garbo","PROPN","SP","_",5,"nmod","_","_",NA,NA,-7.930834,37.0179538
