"","Standardized","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","Long","Lat","lon","lat"
"116","Il Cairo",8,4,"Babilonia","Babilonia","PROPN","SP","_",2,"nmod","_","_",NA,NA,NA,NA,31.2357116,30.0444196
"117","Il Cairo",566,8,"Babillonia","Babillonia","PROPN","SP","_",11,"obl","_","_",NA,NA,NA,NA,31.2357116,30.0444196
"118","Inghilterra",1083,20,"Inghilterra","Inghilterra","PROPN","SP","_",17,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"119","Inghilterra",855,19,"Inghilterra","Inghilterra","PROPN","SP","_",17,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"120","Inghilterra",5641,59,"Inghilterra","Inghilterra","PROPN","SP","_",57,"obl","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"121","Inghilterra",6573,15,"Inghilterra","Inghilterra","PROPN","SP","_",13,"nmod","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"122","Inghilterra",48,28,"Inghilterra","Inghilterra","PROPN","SP","_",26,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"123","Inghilterra",5459,12,"Inghilterra","Inghilterra","PROPN","SP","_",10,"nmod","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"124","Inghilterra",2772,19,"Inghilterra","Inghilterra","PROPN","SP","_",17,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"125","Inghilterra",945,43,"Inghilterra","Inghilterra","PROPN","SP","_",26,"conj","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"126","Inghilterra",5190,14,"Inghilterra","Inghilterra","PROPN","SP","_",12,"nmod","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"127","Inghilterra",2046,31,"Inghilterra","Inghilterra","PROPN","SP","_",29,"obl","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"128","Inghilterra",1097,34,"Inghilterra","Inghilterra","PROPN","SP","_",32,"obl","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"129","Inghilterra",1335,6,"Inghilterra","Inghilterra","PROPN","SP","_",4,"obl","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"130","Inghilterra",1514,22,"Inghilterra","Inghilterra","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"131","Inghilterra",25,21,"Inghilterra","Inghilterra","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"132","Inghilterra",2304,34,"Inghilterra","Inghilterra","PROPN","SP","_",32,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-1.1743197,52.3555177
"133","Inghilterra",3518,80,"Inghilterra","Inghilterra","PROPN","SP","_",78,"nmod","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"134","Inghilterra",3895,7,"Inghilterra","Inghilterra","PROPN","SP","_",5,"nmod","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"135","Inghilterra",3114,36,"Inghilterra","Inghilterra","PROPN","SP","_",34,"nmod","_","_",NA,NA,NA,NA,-1.1743197,52.3555177
"136","Irlanda",2783,30,"Irlanda","Irlanda","PROPN","SP","_",28,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-8.24389,53.41291
"137","Irlanda",5538,25,"Irlanda","Irlanda","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-8.24389,53.41291
"138","Istanbul",5275,37,"Constantinopoli","Constantinopoli","PROPN","SP","_",35,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,28.9783589,41.0082376
"139","Istanbul",864,17,"Costantinopoli","Costantinopoli","PROPN","SP","_",15,"obl","_","SpaceAfter=No",NA,NA,NA,NA,28.9783589,41.0082376
"140","Italia",1372,40,"Italia","Italia","PROPN","SP","_",37,"obl","_","SpaceAfter=No",NA,NA,NA,NA,12.56738,41.87194
"141","Italia",589,52,"Italia","Italia","PROPN","SP","_",54,"obl","_","_",NA,NA,NA,NA,12.56738,41.87194
"142","Italia",232,16,"Italia","Italia","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,12.56738,41.87194
"143","Lerici",5767,38,"Lerici","Lerico","PROPN","SP","_",36,"obl","_","SpaceAfter=No",NA,NA,NA,NA,9.9169337,44.0756332
"144","Lipari",506,61,"Lipari","Liparo","PROPN","SP","_",59,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-82.9800844,42.490726
"145","Londra",5716,13,"Londra","Londra","PROPN","SP","_",14,"obl","_","_",NA,NA,NA,NA,-0.1277583,51.5073509
"146","Londra",2245,6,"Londra","Londra","PROPN","SP","_",4,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-0.1277583,51.5073509
"147","Londra",2054,39,"Londra","Londra","PROPN","SP","_",37,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-0.1277583,51.5073509
"148","Londra",862,26,"Londra","Londra","PROPN","SP","_",24,"obl","_","_",NA,NA,NA,NA,-0.1277583,51.5073509
"149","Londra",2850,11,"Londra","Londra","PROPN","SP","_",9,"nmod","_","_",NA,NA,NA,NA,-0.1277583,51.5073509
"150","Lunigiana (La Spezia)",1756,29,"Lunigiana","Lunigiana","PROPN","SP","_",27,"obl","_","_",NA,NA,NA,NA,9.8373977,44.1188915
"151","Lunigiana (La Spezia)",2462,68,"Lunigiana","Lunigiana","PROPN","SP","_",66,"obl","_","SpaceAfter=No",NA,NA,NA,NA,9.8373977,44.1188915
"152","Lunigiana (La Spezia)",24,20,"Lunigiana","Lunigiana","PROPN","SP","_",18,"obl","_","SpaceAfter=No",NA,NA,NA,NA,9.8373977,44.1188915
"153","Mallorca",2374,21,"Maiolica","Maiolica","PROPN","SP","_",19,"nmod","_","_",NA,NA,NA,NA,3.0175712,39.6952629
"154","Mallorca",1512,27,"Visalgo","Visalgo","PROPN","SP","_",25,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,3.0175712,39.6952629
"155","Mallorca",922,55,"Maiolica","Maiolica","PROPN","SP","_",53,"obl","_","SpaceAfter=No",NA,NA,NA,NA,3.0175712,39.6952629
"156","Mallorca",1141,69,"Maiolica","Maiolica","PROPN","SP","_",67,"nmod","_","_",NA,NA,NA,NA,3.0175712,39.6952629
"157","Napoli",4326,39,"Ruga","Ruga","PROPN","SP","_",37,"nsubj","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"158","Napoli",6403,24,"Napoli","Napoli","PROPN","SP","_",22,"obl","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"159","Napoli",794,41,"Napoli","Napoli","PROPN","SP","_",38,"obl","_","SpaceAfter=No",NA,NA,NA,NA,14.2681244,40.8517746
"160","Napoli",2748,73,"Napoli","Napoli","PROPN","SP","_",76,"nsubj","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"161","Napoli",151,32,"Napoli","Napoli","PROPN","SP","_",35,"obl","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"162","Napoli",305,33,"Napoli","Napoli","PROPN","SP","_",31,"nmod","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"163","Napoli",542,17,"Napoli","Napoli","PROPN","SP","_",13,"obl","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"164","Napoli",4327,40,"Catalana","Catalana","PROPN","SP","_",39,"flat:name","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"165","Napoli",11,7,"Napoli","Napoli","PROPN","SP","_",5,"obl","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"166","Napoli",4811,8,"Napoli","Napoli","PROPN","SP","_",6,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,14.2681244,40.8517746
"167","Napoli",893,18,"Malpertugio","Malpertugio","PROPN","SP","_",17,"conj","_","SpaceAfter=No",NA,NA,NA,NA,14.2681244,40.8517746
"168","Napoli",574,13,"Napoli","Napoli","PROPN","SP","_",15,"obl","_","_",NA,NA,NA,NA,14.2681244,40.8517746
"169","Pafo",7830,64,"Baffa","Baffa","PROPN","SP","_",74,"nsubj","_","_",NA,NA,NA,NA,32.4297369,34.7720133
"170","Pafo",7851,6,"Baffa","Baffa","PROPN","SP","_",14,"obl","_","_",NA,NA,NA,NA,32.4297369,34.7720133
"171","Pafo",8612,3,"Baffa","Baffa","PROPN","SP","_",5,"obl","_","_",NA,NA,NA,NA,32.4297369,34.7720133
"172","Pafo",7815,49,"Baffa","Baffa","PROPN","SP","_",56,"obl","_","_",NA,NA,NA,NA,32.4297369,34.7720133
"173","Pafo",9624,61,"Baffa","Baffa","PROPN","SP","_",62,"obl","_","_",NA,NA,NA,NA,32.4297369,34.7720133
"174","Pafo",9555,12,"Baffa","Baffa","PROPN","SP","_",10,"obl","_","SpaceAfter=No",NA,NA,NA,NA,32.4297369,34.7720133
"175","Palermo",3265,46,"Palermo","Palermo","PROPN","SP","_",44,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,13.3612671,38.1156879
"176","Palermo",6510,29,"Palermo","Palermo","PROPN","SP","_",27,"obl","_","_",NA,NA,NA,NA,13.3612671,38.1156879
"177","Palermo",1728,55,"Palermo","Palermo","PROPN","SP","_",53,"obl","_","SpaceAfter=No",NA,NA,NA,NA,13.3612671,38.1156879
"178","Palermo",1515,11,"Palermo","Palermo","PROPN","SP","_",8,"obl","_","_",NA,NA,NA,NA,13.3612671,38.1156879
