"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"128","Chios",6506,25,"Chios","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,57,"Chios","Chios",26.131006,38.368182
"129","Chios",6506,25,"Chios","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,56,"Chios","Chios",26.131006,38.368182
"130","Smirre",6577,94,"Smirre","PROPN","SP","_",96,"obl","_","_",NA,NA,251,"Smirne","Smirre",27.142826,38.423734
"131","Smirre",6577,94,"Smirre","PROPN","SP","_",96,"obl","_","_",NA,NA,252,"Smirne","Smirre",27.142826,38.423734
"132","Smirre",6577,94,"Smirre","PROPN","SP","_",96,"obl","_","_",NA,NA,249,"Smirne","Smirre",27.142826,38.423734
"133","Smirre",6577,94,"Smirre","PROPN","SP","_",96,"obl","_","_",NA,NA,250,"Smirne","Smirre",27.142826,38.423734
"134","Smirre",6477,36,"Smirre","PROPN","SP","_",33,"nmod","_","SpaceAfter=No",NA,NA,251,"Smirne","Smirre",27.142826,38.423734
"135","Smirre",6477,36,"Smirre","PROPN","SP","_",33,"nmod","_","SpaceAfter=No",NA,NA,252,"Smirne","Smirre",27.142826,38.423734
"136","Smirre",6477,36,"Smirre","PROPN","SP","_",33,"nmod","_","SpaceAfter=No",NA,NA,249,"Smirne","Smirre",27.142826,38.423734
"137","Smirre",6477,36,"Smirre","PROPN","SP","_",33,"nmod","_","SpaceAfter=No",NA,NA,250,"Smirne","Smirre",27.142826,38.423734
"138","Smirre",6821,34,"Smirre","PROPN","SP","_",31,"obl","_","_",NA,NA,251,"Smirne","Smirre",27.142826,38.423734
"139","Smirre",6821,34,"Smirre","PROPN","SP","_",31,"obl","_","_",NA,NA,252,"Smirne","Smirre",27.142826,38.423734
"140","Smirre",6821,34,"Smirre","PROPN","SP","_",31,"obl","_","_",NA,NA,249,"Smirne","Smirre",27.142826,38.423734
"141","Smirre",6821,34,"Smirre","PROPN","SP","_",31,"obl","_","_",NA,NA,250,"Smirne","Smirre",27.142826,38.423734
"142","Smirre",6882,13,"Smirre","PROPN","SP","_",8,"obl","_","SpaceAfter=No",NA,NA,251,"Smirne","Smirre",27.142826,38.423734
"143","Smirre",6882,13,"Smirre","PROPN","SP","_",8,"obl","_","SpaceAfter=No",NA,NA,252,"Smirne","Smirre",27.142826,38.423734
"144","Smirre",6882,13,"Smirre","PROPN","SP","_",8,"obl","_","SpaceAfter=No",NA,NA,249,"Smirne","Smirre",27.142826,38.423734
"145","Smirre",6882,13,"Smirre","PROPN","SP","_",8,"obl","_","SpaceAfter=No",NA,NA,250,"Smirne","Smirre",27.142826,38.423734
"146","Capadocia",6674,21,"Capadocia","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,51,"Cappadocia","Capadocia",34.828292,38.645287
"147","Capadocia",6674,21,"Capadocia","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,54,"Cappadocia","Capadocia",34.828292,38.645287
"148","Capadocia",6674,21,"Capadocia","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,53,"Cappadocia","Capadocia",34.828292,38.645287
"149","Capadocia",6674,21,"Capadocia","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,52,"Cappadocia","Capadocia",34.828292,38.645287
"150","Capadocia",6753,97,"Capadocia","PROPN","SP","_",95,"nmod","_","_",NA,NA,51,"Cappadocia","Capadocia",34.828292,38.645287
"151","Capadocia",6753,97,"Capadocia","PROPN","SP","_",95,"nmod","_","_",NA,NA,54,"Cappadocia","Capadocia",34.828292,38.645287
"152","Capadocia",6753,97,"Capadocia","PROPN","SP","_",95,"nmod","_","_",NA,NA,53,"Cappadocia","Capadocia",34.828292,38.645287
"153","Capadocia",6753,97,"Capadocia","PROPN","SP","_",95,"nmod","_","_",NA,NA,52,"Cappadocia","Capadocia",34.828292,38.645287
"154","Capadocia",6815,29,"Capadocia","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,51,"Cappadocia","Capadocia",34.828292,38.645287
"155","Capadocia",6815,29,"Capadocia","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,54,"Cappadocia","Capadocia",34.828292,38.645287
"156","Capadocia",6815,29,"Capadocia","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,53,"Cappadocia","Capadocia",34.828292,38.645287
"157","Capadocia",6815,29,"Capadocia","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,52,"Cappadocia","Capadocia",34.828292,38.645287
"158","Capadocia",6842,54,"Capadocia","PROPN","SP","_",52,"nmod","_","_",NA,NA,51,"Cappadocia","Capadocia",34.828292,38.645287
"159","Capadocia",6842,54,"Capadocia","PROPN","SP","_",52,"nmod","_","_",NA,NA,54,"Cappadocia","Capadocia",34.828292,38.645287
"160","Capadocia",6842,54,"Capadocia","PROPN","SP","_",52,"nmod","_","_",NA,NA,53,"Cappadocia","Capadocia",34.828292,38.645287
"161","Capadocia",6842,54,"Capadocia","PROPN","SP","_",52,"nmod","_","_",NA,NA,52,"Cappadocia","Capadocia",34.828292,38.645287
"162","Rodi",7114,18,"Rodi","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA,223,"Rodi","Rodi",28.217638,36.434053
"163","Rodi",7114,18,"Rodi","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA,222,"Rodi","Rodi",28.217638,36.434053
"164","Rodi",7114,18,"Rodi","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA,221,"Rodi","Rodi",28.217638,36.434053
"165","Rodi",7574,15,"Rodi","PROPN","SP","_",13,"nmod","_","_",NA,NA,223,"Rodi","Rodi",28.217638,36.434053
"166","Rodi",7574,15,"Rodi","PROPN","SP","_",13,"nmod","_","_",NA,NA,222,"Rodi","Rodi",28.217638,36.434053
"167","Rodi",7574,15,"Rodi","PROPN","SP","_",13,"nmod","_","_",NA,NA,221,"Rodi","Rodi",28.217638,36.434053
"168","Rodi",7756,20,"Rodi","PROPN","SP","_",18,"nmod","_","_",NA,NA,223,"Rodi","Rodi",28.217638,36.434053
"169","Rodi",7756,20,"Rodi","PROPN","SP","_",18,"nmod","_","_",NA,NA,222,"Rodi","Rodi",28.217638,36.434053
"170","Rodi",7756,20,"Rodi","PROPN","SP","_",18,"nmod","_","_",NA,NA,221,"Rodi","Rodi",28.217638,36.434053
"171","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,64,"Cipro","Ciprio",33.429859,35.126413
"172","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,65,"Cipro","cipri",33.429859,35.126413
"173","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,62,"Cipro","Ciprio",33.429859,35.126413
"174","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,63,"Cipro","Ciprio",33.429859,35.126413
"175","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,67,"Cipro","Ciprio",33.429859,35.126413
"176","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,58,"Cipro","Ciprio",33.429859,35.126413
"177","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,59,"Cipro","Ciprio",33.429859,35.126413
"178","Cipri",10030,90,"cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,61,"Cipro","Ciprio",33.429859,35.126413
