"","lon","lat"
"89",NA,NA
"90",NA,NA
"91",NA,NA
"92",NA,NA
"93",NA,NA
"94",NA,NA
"95",NA,NA
"96",NA,NA
"97",NA,NA
"98",NA,NA
"99",NA,NA
"100",NA,NA
"101",NA,NA
"102",NA,NA
"103",NA,NA
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",NA,NA
"108",NA,NA
"109",NA,NA
"110",NA,NA
"111",NA,NA
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",NA,NA
"116",NA,NA
"117",NA,NA
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",NA,NA
"124",NA,NA
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",NA,NA
"130",NA,NA
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",NA,NA
"135",NA,NA
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",NA,NA
"147",NA,NA
"148",NA,NA
"149",NA,NA
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",NA,NA
"154",NA,NA
"155",NA,NA
"156",NA,NA
"157",NA,NA
"158",NA,NA
"159",NA,NA
"160",NA,NA
"161",NA,NA
"162",8.4184224,39.0373917
"163",8.4184224,39.0373917
"164",8.4184224,39.0373917
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",NA,NA
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",-80.292843,26.19659
"179",-80.292843,26.19659
"180",NA,NA
"181",NA,NA
"182",8.2064257,44.9007512
"183",NA,NA
"184",NA,NA
"185",23.7275388,37.9838096
"186",NA,NA
"187",23.7275388,37.9838096
"188",NA,NA
"189",NA,NA
"190",NA,NA
"191",23.7275388,37.9838096
"192",23.7275388,37.9838096
"193",-81.234224,37.2556605
"194",-81.234224,37.2556605
"195",-95.4959597,29.7145102
"196",-95.4959597,29.7145102
"197",-87.62849,41.8797901
"198",-87.62849,41.8797901
"199",-87.62849,41.8797901
"200",-87.62849,41.8797901
"201",-87.62849,41.8797901
"202",-87.62849,41.8797901
"203",-5.9990758,37.3873825
"204",11.7272747,45.7657286
"205",11.7272747,45.7657286
"206",11.7272747,45.7657286
"207",NA,NA
"208",14.7826208,41.1297613
"209",NA,NA
"210",NA,NA
"211",NA,NA
"212",NA,NA
"213",NA,NA
"214",NA,NA
"215",NA,NA
"216",NA,NA
"217",NA,NA
"218",NA,NA
"219",NA,NA
"220",NA,NA
"221",NA,NA
"222",NA,NA
"223",NA,NA
"224",NA,NA
"225",NA,NA
"226",NA,NA
"227",-80.099283,40.611738
"228",-80.099283,40.611738
"229",-80.099283,40.611738
"230",-80.099283,40.611738
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",-80.099283,40.611738
"235",-80.099283,40.611738
"236",-80.099283,40.611738
"237",-80.099283,40.611738
"238",-80.099283,40.611738
"239",-80.099283,40.611738
"240",NA,NA
"241",NA,NA
"242",-80.099283,40.611738
"243",NA,NA
"244",NA,NA
"245",-80.099283,40.611738
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",-73.4613182,40.8283252
"250",NA,NA
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",NA,NA
"255",NA,NA
"256",-95.120535,29.5397566
"257",-95.120535,29.5397566
"258",-95.120535,29.5397566
"259",-95.120535,29.5397566
"260",NA,NA
"261",NA,NA
"262",NA,NA
"263",7.4266436,43.7400718
"264",7.4266436,43.7400718
"265",7.4266436,43.7400718
"266",7.4266436,43.7400718
"267",7.4266436,43.7400718
"268",7.4266436,43.7400718
"269",7.4266436,43.7400718
"270",7.4266436,43.7400718
"271",7.4266436,43.7400718
"272",-73.9972849,40.688158
"273",NA,NA
"274",-73.9972849,40.688158
"275",-73.9972849,40.688158
"276",1.5208624,41.5911589
"277",-115.7615344,40.8317324
"278",-115.7615344,40.8317324
"279",-115.7615344,40.8317324
"280",-77.5794773,43.1337355
"281",-77.5794773,43.1337355
"282",NA,NA
"283",NA,NA
"284",NA,NA
"285",NA,NA
"286",26.1310056,38.3681824
"287",NA,NA
"288",NA,NA
"289",-80.646809,41.107003
"290",NA,NA
"291",-80.646809,41.107003
"292",NA,NA
"293",NA,NA
"294",NA,NA
"295",NA,NA
"296",NA,NA
"297",-80.646809,41.107003
"298",-80.646809,41.107003
"299",-80.646809,41.107003
"300",NA,NA
"301",-80.646809,41.107003
"302",NA,NA
"303",NA,NA
"304",151.2310794,-33.886606
"305",151.2310794,-33.886606
"306",151.2310794,-33.886606
"307",151.2310794,-33.886606
"308",151.2310794,-33.886606
"309",151.2310794,-33.886606
"310",NA,NA
"311",NA,NA
"312",151.2310794,-33.886606
"313",151.2310794,-33.886606
"314",NA,NA
"315",NA,NA
"316",NA,NA
"317",NA,NA
"318",NA,NA
"319",NA,NA
"320",NA,NA
"321",NA,NA
"322",NA,NA
"323",NA,NA
"324",NA,NA
"325",NA,NA
"326",NA,NA
"327",NA,NA
"328",NA,NA
