"","Row.names","cities","lon","lat"
"557","595","",NA,NA
"558","596","",NA,NA
"559","597","",NA,NA
"560","598","",NA,NA
"561","599","",NA,NA
"562","6","",NA,NA
"563","60","",NA,NA
"564","600","",NA,NA
"565","601","",NA,NA
"566","602","",NA,NA
"567","603","",NA,NA
"568","604","",NA,NA
"569","605","",NA,NA
"570","606","",NA,NA
"571","607","",NA,NA
"572","608","Gerusalemme",NA,NA
"573","609","Inghilterra",-1.1743197,52.3555177
"574","61","",NA,NA
"575","610","Inghilterra",NA,NA
"576","611","Inghilterra",NA,NA
"577","612","Inghilterra",-1.1743197,52.3555177
"578","613","Inghilterra",-1.1743197,52.3555177
"579","614","Inghilterra",NA,NA
"580","615","Inghilterra",NA,NA
"581","616","Inghilterra",NA,NA
"582","617","Inghilterra",-1.1743197,52.3555177
"583","618","Inghilterra",-1.1743197,52.3555177
"584","619","Inghilterra",-1.1743197,52.3555177
"585","62","",NA,NA
"586","620","Inghilterra",-1.1743197,52.3555177
"587","621","Inghilterra",NA,NA
"588","622","Inghilterra",NA,NA
"589","623","Inghilterra",-1.1743197,52.3555177
"590","624","Inghilterra",-1.1743197,52.3555177
"591","625","Inghilterra",-1.1743197,52.3555177
"592","626","Inghilterra",-1.1743197,52.3555177
"593","627","Irlanda",-8.24389,53.41291
"594","628","Irlanda",-8.24389,53.41291
"595","629","Italia",12.56738,41.87194
"596","63","Amalfi",NA,NA
"597","630","Italia",12.56738,41.87194
"598","631","Italia",12.56738,41.87194
"599","632","",NA,NA
"600","633","",NA,NA
"601","634","",NA,NA
"602","635","",NA,NA
"603","636","",NA,NA
"604","637","",NA,NA
"605","638","",NA,NA
"606","639","",NA,NA
"607","64","",NA,NA
"608","640","",NA,NA
"609","641","",NA,NA
"610","642","",NA,NA
"611","643","",NA,NA
"612","644","",NA,NA
"613","645","",NA,NA
"614","646","",NA,NA
"615","647","",NA,NA
"616","648","",NA,NA
"617","649","",NA,NA
"618","65","",NA,NA
"619","650","",NA,NA
"620","651","Lerici",9.9169337,44.0756332
"621","652","Lipari",-82.9800844,42.490726
"622","653","",NA,NA
"623","654","Londra",-0.1277583,51.5073509
